Issue key,Issue id,Issue Type,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date,Labels,Custom field (Resolution.)
OSSSUP-88230,2000491,Configuration changes,[sprintlab434] - Revert to SP2003 request,k1n,pklos,Minor,Resolved,Resolved,14.5.2020 21:26,14.5.2020 23:02,,,
OSSSUP-88229,2000443,Unplanned SW upgrade,[clab2097] Please install the latest FP661,aprzybyl,tlisowsk,Minor,Resolved,Fixed,14.5.2020 20:41,14.5.2020 22:52,,,
OSSSUP-88228,2000440,Unplanned SW upgrade,"DCSA snapshot for clab692node01, clab1584node01, clab1573node01 and clab304node01",aprzybyl,schincho,Minor,Resolved,Fixed,14.5.2020 20:31,14.5.2020 21:55,,,
OSSSUP-88227,2000295,Question,Please help to install clab3413 for SP trunk netact19_sp/product/19.0.99.1501,k1n,carhe,Minor,Open,,14.5.2020 18:37,14.5.2020 22:46,,,
OSSSUP-88226,2000290,Configuration changes,"[sprintlab434] - Upgrade to netact19 SP2005, build 19.0.99.1501",k1n,pklos,Minor,Open,,14.5.2020 18:31,14.5.2020 23:34,,,
OSSSUP-88225,1999939,Question,[CLAB1007] Lab status check,x30zhang,kuzhang,Minor,Closed,Won't Fix,14.5.2020 15:54,14.5.2020 16:00,,,
OSSSUP-88224,1999514,Question,Clab2231  Upgrade  to Latest SP_trunk - Optional SLC nodes  missing       ,w2yu,devraj,Minor,Closed,Closed,14.5.2020 12:52,14.5.2020 17:01,,,
OSSSUP-88223,1998452,Configuration problem / Broken lab,can not open ASIR manager on clab533.,junlili,lwang068,Minor,Closed,Fixed,13.5.2020 15:10,14.5.2020 14:44,,lab,
OSSSUP-88222,1999500,Other,NASDA installation in CLAB492,x30zhang,sudhkuma,Minor,In Progress,,14.5.2020 12:25,14.5.2020 16:56,,,
OSSSUP-88221,1999393,Integration problem,clab1719 upgrade to NA20 met error,w2yu,xuazhao,Minor,Closed,Fixed,14.5.2020 10:30,15.5.2020 8:34,,,
OSSSUP-88220,1999356,Question,Scratch install failed - N20 QL4,junlili,girishr,Minor,Pending,,14.5.2020 10:02,14.5.2020 10:36,,,
OSSSUP-88219,1999242,Other,[CLAB849] Abnormal objects in Netact monitor,x30zhang,tedkim,Minor,Closed,Fixed,14.5.2020 8:36,14.5.2020 15:15,,,
OSSSUP-88218,1999024,Question,CLAB2996,junlili,alinp,Minor,Open,,13.5.2020 20:50,14.5.2020 14:21,,,
OSSSUP-88217,1998849,Scratch installation,"In clab1231node19 keycloak service listing ""vsp0059vm85""  and vsp0059vm86 host for clustering  ",aprzybyl,atsingh,Minor,Resolved,Fixed,13.5.2020 18:39,14.5.2020 22:54,,,
OSSSUP-88216,1998794,Scratch installation,scratch and install NA19 SP1912 in CLAB689.,vt,sudhkuma,Minor,Open,,13.5.2020 17:57,14.5.2020 14:20,,,
OSSSUP-88215,1998734,Configuration changes,[CL02098] Please add PDL to CL2098,aprzybyl,tlisowsk,Minor,Pending,,13.5.2020 17:25,13.5.2020 20:59,,,
OSSSUP-88214,1998701,Question,[CloudLab2270] Performance issues on CloudLab2270 after realocation and scratch,aprzybyl,rblach,Minor,Resolved,Fixed,13.5.2020 17:11,13.5.2020 21:28,,,
OSSSUP-88213,1998673,Question,Update clab3423 to N20 latest QL4,junlili,kuni,Minor,Closed,Fixed,13.5.2020 17:00,14.5.2020 9:10,,,
OSSSUP-88212,1998531,Scratch installation,scratch and install NA18A SP1902 in CLAB1627,x30zhang,sudhkuma,Minor,Closed,Fixed,13.5.2020 15:46,15.5.2020 10:03,,,
OSSSUP-88211,1998410,Scratch installation,Please suppoort on srcatch installation of netact_m_v5 (clab2661),w2yu,wewang,Minor,Closed,Fixed,13.5.2020 14:49,14.5.2020 8:40,,,
OSSSUP-88210,1998392,Integration problem,CLAB1971  need license,junlili,williwan,Minor,Closed,Fixed,13.5.2020 14:32,13.5.2020 17:20,,,
OSSSUP-88209,1998367,Question,scratch problem of new allocate lab clab1620,x30zhang,wewang,Minor,Closed,Fixed,13.5.2020 14:19,14.5.2020 15:03,,,
OSSSUP-88208,1998224,Other,required to install FP635 in CLAB1845,junlili,sudhkuma,Minor,Closed,Fixed,13.5.2020 12:08,13.5.2020 15:03,,,
OSSSUP-88207,1998218,Other,Configurator build upgrade is failing in CLAB446,w2yu,vkumars,Minor,Closed,Fixed,13.5.2020 11:44,13.5.2020 17:06,,,
OSSSUP-88206,1998211,Integration request,NMS upgrading and integration,k1n,grlong,Minor,In Progress,,13.5.2020 11:26,13.5.2020 13:17,,,
OSSSUP-88205,1998154,Other,404 error when upgrade from sp2004 to sp2005 on Clab3413,x30zhang,y7zou,Minor,Closed,Fixed,13.5.2020 10:32,14.5.2020 9:38,,,
OSSSUP-88204,1998145,Configuration problem / Broken lab,[CLAB1097] - upgrade to NetAct SP failed,w2yu,louliu,Minor,Open,,13.5.2020 10:24,13.5.2020 10:34,,,
OSSSUP-88203,1998088,Unplanned SW upgrade,Revert and upgrade entity lab CLAB1040 to SP2005 build 'netact19_sp_stabi/product/19.0.17.32',x30zhang,x30zhang,Minor,Closed,Fixed,13.5.2020 9:53,14.5.2020 9:18,,,
OSSSUP-88202,1998067,Scratch installation,Scratch install entity lab CLAB1095 to build 'netact20/product/20.0.0.65',x30zhang,x30zhang,Minor,Closed,Won't Fix,13.5.2020 9:51,14.5.2020 9:35,,,
OSSSUP-88201,1998009,Unplanned SW upgrade,SprintLab461 Upgrade to NA19 P8 Failed Several times,w2yu,zezhao,Minor,Closed,Fixed,13.5.2020 9:30,14.5.2020 8:37,,,
OSSSUP-88200,1997927,Unplanned SW upgrade,[clab055] Please install the FP734,junlili,tlisowsk,Minor,Closed,Fixed,13.5.2020 5:55,13.5.2020 15:37,,,
OSSSUP-88199,1997764,Scratch installation,CLAB782 scratch with 19SP2003 + FP for Core co-op,vt,jeironen,Minor,Open,,12.5.2020 20:41,14.5.2020 14:03,,,
OSSSUP-88198,1997750,Other,Upgrades on CLAB446 are failing,k1n,akhiv,Minor,Resolved,Resolved,12.5.2020 20:28,14.5.2020 14:07,,,
OSSSUP-88197,1997642,Other,Unable to launch apps from Slab485,vt,smathias,Minor,Resolved,Fixed,12.5.2020 18:41,12.5.2020 22:24,,,
OSSSUP-88196,1997590,Unplanned SW upgrade,Sprintlab085 customer like upgrade with new version of FP710 P7.1 20200511T131938,k1n,parnold,Minor,Pending,,12.5.2020 17:56,14.5.2020 18:36,,,
OSSSUP-88195,1997569,Scratch installation,Scratch installation is failing in 3287,aprzybyl,asangwan,Minor,Resolved,Fixed,12.5.2020 17:40,14.5.2020 16:26,,,
